Hindi,Transliteration
तूँबी,tūn̐bī
अभिप्रायविरुद्ध,abhiprāyaviruddh
दांना,dānnā
अक्रर्,akrar
साधने_वाला,śādhanêvālā
पितविहीन,pitavihīn
अपक्षत,apakshhat
बाल्मीक,bālmīk
बाल्मीकी,bālmīkī
खातक,khātak
खातकों,khātakôn
ज़ुहूर,uhūr
ज़ुहूरों,uhūrôn
सुकवा,śukavā
काज्यो,kājyô
सुकवि,śukavi
बालियों,bāliyôn
कहुँ,kahun̐
विवाहोपरांतत,vivāhôparāntat
उपरोपित,uparôpit
वक़्त-बेवक़्त,vtabêvt
इंतिजाम,entijām
टेक्नोक्रैट,ṭêknôkraiṭ
इंतिजार,entijār
कोढ़िया,kôiyā
कोढ़ियाएँ,kôiyāan̐
कोढ़ियाओं,kôiyāon
अकबका,akabakā
अकबकाइयो,akabakāeyô
अकबकावे,akabakāvê
अकबकाई,akabakāi
अकबकाकर,akabakākar
अकबकाना,akabakānā
अकबकाने,akabakānê
अकबकाता,akabakātā
अकबकाती,akabakātī
अकबकाते,akabakātê
अकबकाए,akabakāa
अकबकाएगा,akabakāagā
अकबकाएगी,akabakāagī
अकबकाएँगीं,akabakāan̐gīn
अकबकाएँगे,akabakāan̐gê
अकबकाऊँ,akabakāoon̐
अकबकाऊँगा,akabakāoon̐gā
अकबकाऊँगी,akabakāoon̐gī
अकबकाऊँगीं,akabakāoon̐gīn
अकबकाइए,akabakāea
अकबकाइएगा,akabakāeagā
अकबकाइएगी,akabakāeagī
अकबकाओ,akabakāo
अकबकाओगे,akabakāogê
अकबकाओगी,akabakāogī
उद्भिज,udbhij
उद्भिजों,udbhijôn
कहुआ,kahuaa
छात्राकार,chātrākār
स्वार्थबुद्धि,śvārthabuddhi
स्वदन,śvadan
अपक्षय,apakshhay
अपक्षयों,apakshhayôn
अपक्षयी,apakshhayī
विपुलरस,vipularaś
संपोषिण,śnpôshhiṇ
संपोषित,śnpôshhit
संपोषितता,śnpôshhitatā
संपोषिता,śnpôshhitā
महादीप,mahādīp
चोँका,côn̐kā
लालिनी,lālinī
गोरखइमली,gôrkahemalī
अधिधारण,adhidhāraṇ
जांबवती,jānbavatī
चुरवाया,curavāyā
मयंक,maynk
मयंकों,maynkôn
पितपापड़ा,pitapāpā
अपरिच्छादित,aparicchādit
जांबवतू,jānbavatū
ज्योतिर्मान,jyôtirmān
सारांश,śārānsh
सारांशों,śārānshôn
लेफ़्टिस्ट,lêṭiśṭ
उद्भिद,udbhid
गेंदनुमा,gêndanumā
प्राकृतिकतावाद,prākritikatāvād
प्राकृतिकतावादी,prākritikatāvādī
विरंचन,virncan
अनाहार्य,anāhāry
अनाहार्यता,anāhāryatā
टठिया,ṭṭahiyā
बतूरी,batūrī
वासनाएं,vāśanāan
वासनाएंों,vāśanāanôn
बरमूडन,baramūḍan
गुणवाचक,guṇavācak
सीपीयू,śīpīyū
बाज़ारिया,bāāriyā
खुटला,khuṭalā
खुटले,khuṭalê
खुटलों,khuṭalôn
बर्हण,barhaṇ
आबर्हण,aabarhaṇ
उत्तराँचल,uttarān̐cal
ग्रामपति,grāmapati
मेटाबोलिज्म,mêṭābôlijm
अचुंबक,acunbak
अचुंबकता,acunbakatā
मयंद,maynd
मयंदी,mayndī
टेक्सस,ṭêkśaś
वाइमैक्स,vāemaikś
संवृद्घ,śnvridgh
कालरेखा,kālarêkhā
तजुर्बेकार,tajurbêkār
ठोड़ीय,ṭhôīy
समूहचर,śamūhacar
समूहचरता,śamūhacaratā
ऐरोबियम,aerôbiyam
क़ज़र्,r
पढ़ना-लिखना,panālikhanā
बकल्स,bakalś
व्रताचारिणी,vratācāriṇī
प्रोटो-इंडो,prôṭôenḍô
खाति,khāti
रुपमती,rupamatī
जीव-विकास,jīvavikāś
गोधूमीय,gôdhūmīy
शारणिक,shāraṇik
विरंचि,virnci
विरंचिओं,virncion
विरंचिों,virnciôn
ज़मींदोज़,mīndô
ज़मींदोज़ों,mīndôôn
बरमूडा,baramūḍā
खगराज,khagarāj
मादक,mādak
मादकता,mādakatā
मादकों,mādakôn
पितृभोजन,pitribhôjan
गोपीश,gôpīsh
सारसंक्षेपण,śāraśnkshhêpaṇ
संवृद्ध,śnvriddh
संवृद्धता,śnvriddhatā
अप्रावहता,aprāvahatā
मैरा,mairā
मैरी,mairī
मैरो,mairô
कुश्ती,kushtī
कुश्तियाँ,kushtiyān̐
कुश्तिओं,kushtion
सिंधी-भाषा,śindhībhāshhā
सिंधी-भाषाओं,śindhībhāshhāon
क्षेत्रजात,kshhêtrajāt
कलहनी,kalahanī
पिँजरा,pin̐jarā
धाकदार,dhākadār
डैलिगेशन,ḍailigêshan
बर्हि,barhi
धृष्टतापूर्ण,dhrishhṭatāpūrṇ
कार्यारंभित,kāryārnbhit
सामंतप्रथा,śāmntaprtahā
फारखती,fārkahatī
व्यालरूप,vyālarūp
कुक्षिशूल,kukshhishūl
राजनीतिकरण,rājanītikaraṇ
राजनीतिकरणों,rājanītikaraṇôn
शुतुरग़मज़ा,shuturaamā
तरसों,taraśôn
अतरसों,ataraśôn
पलेंड़ी,palênī
पिरामिडीय,pirāmiḍīy
मज़बह,mabah
मज़बहों,mabahôn
प्रथमांक,prtahamānk
प्रथमांकों,prtahamānkôn
सँझैया,śn̐jhaiyā
महीभुक,mahībhuk
ज़िनाबिज्ज़ब्र,inābijbr
चैस्ट,caiśṭ
सन्नजिह्व,śannajihv
श्रयांस,shrayānś
गँठाव,gn̐ṭhāv
गँठावे,gn̐ṭhāvê
मादन,mādan
मादनों,mādanôn
मादनी,mādanī
जुंड़ी,junī
चेपदार,cêpadār
उत्तराखंड़,uttarākhn
तवक्को,tavakkô
वासीय,vāśīy
वासीयता,vāśīyatā
रसज्येष्ठ,raśajyêshhṭh
मौरिस,mauriś
लज्जरी,lajjarī
अप्राकृत,aprākrit
अनाख्यान,anākhyān
शाताब्द,shātābd
मादर,mādar
मादरों,mādarôn
मादरी,mādarī
मादरे,mādarê
हतचेतन,hatacêtan
कहनि,kahani
अनिष्टत,anishhṭat
अनिष्टता,anishhṭatā
आकारांत,aakārānt
फॉरेस्टर,fŏrêśṭar
गरुड़सिंह,garuśinh
गरुड़सिंहों,garuśinhôn
मादल,mādal
कुसाइत,kuśāet
कुसाइतें,kuśāetên
कुसाइतों,kuśāetôn
लंकटकटा,lnkaṭakaṭā
क्रिं,krin
धुमला,dhumalā
टाप्स,ṭāpś
रिफ्स,rifś
मादव,mādav
भूमिहर,bhūmihar
स्टैजा,śṭaijā
ट्रेगोपैन,ṭrêgôpain
सुभद्रिका,śubhadrikā
जीवनोन्मुखता,jīvanônmukhatā
अजीवनोन्मुखता,ajīvanônmukhatā
दाईगिरी,dāigirī
असैनिकिकरण,aśainikikaraṇ
जन-श्रुति,jaansahruti
अन्तरिक,antarik
बड़बड़िया,baabiyā
पगडी,pagaḍī
भदेस,bhadêś
मोहनभोग,môhanbahôg
सामान्यत,śāmānyat
सामान्यता,śāmānyatā
कुसुमपल्ली,kuśumapallī
गंधिक,gndhik
गंधिका,gndhikā
कौशिकी-कान्हड़ा,kaushikīkānhā
फलप्रदाता,falapradātā
ककोरना,kakôranā
रंगांध,rngāndh
रंगांधता,rngāndhatā
वेत्रदंडीय,vêtradnḍīy
उचक्रण,ucakraṇ
फ़ाका,ākā
जयतिश्री,jayatishrī
लैंप्री,lainprī
मॉरिटानिया,mŏriṭāniyā
मिनीवर,minīvar
नौशा,naushā
नौशे,naushê
नौशों,naushôn
नौशी,naushī
मषशीर्ष,mshahsahīrshh
डौंड़ी,ḍaunī
सूर्यभानु,śūrybahānu
सप्राणक,śaprāṇak
अन्तरित,antarit
अन्तरिती,antaritī
मुड़ही,muhī
चित्रबाण,citrabāṇ
अनुशंसात्मक,anushnśātmak
क्रिछ,krich
लरना,laranā
लरनि,larani
अक्षकृत,akshhakrit
दयाहीन,dayāhīn
दयाहीनता,dayāhīnatā
गंधित,gndhit
गंधितता,gndhitatā
वैरोनैल,vairônail
पकवा,pakavā
पकवाइयो,pakavāeyô
पकवावे,pakavāvê
पकवाई,pakavāi
पकवाकर,pakavākar
पकवाना,pakavānā
पकवाने,pakavānê
पकवाता,pakavātā
पकवाती,pakavātī
पकवाते,pakavātê
पकवाए,pakavāa
पकवाएगा,pakavāagā
पकवाएगी,pakavāagī
पकवाएँगीं,pakavāan̐gīn
पकवाएँगे,pakavāan̐gê
पकवाऊँ,pakavāoon̐
पकवाऊँगा,pakavāoon̐gā
पकवाऊँगी,pakavāoon̐gī
पकवाऊँगीं,pakavāoon̐gīn
पकवाइए,pakavāea
पकवाइएगा,pakavāeagā
पकवाइएगी,pakavāeagī
पकवाओ,pakavāo
पकवाओगे,pakavāogê
पकवाओगी,pakavāogī
कालसर्प,kālaśarp
कालसर्पों,kālaśarpôn
इंडेक्स,enḍêkś
इंडेक्सों,enḍêkśôn
कालावर्तिता,kālāvartitā
अनुनय,anunay
अनुनयी,anunayī
प्रियदर्शनी,priyadarshanī
काराकल्पक,kārākalpak
शुभदर्शन,shubhadarshan
शुभदर्शना,shubhadarshanā
अन्तरिम,antarim
कपिप्रभा,kapiprbahā
सैकलगर,śaikalagar
नशेबाज़,nsahêbā
नशेबाज़ी,nsahêbāī
वित्तक,vittak
घेंटुआ,ghênṭuaa
कैम्बियम,kaimbiyam
देहान्तरण,dêhāntaraṇ
सम्मानपद,śammānapad
धर्मसावर्णि,dharmaśāvarṇi
ध्वजाधर,dhvajādhar
ध्वजाधरता,dhvajādharatā
जोर-से,jôraśê
लक्ष्मीनृसिंह,lakshhmīnriśinh
बनकुलथी,banakultahī
लोकगीतकार,lôkagītakār
दिनपत्र,dinapatr
दिनपत्रों,dinapatrôn
सप्राणन,śaprāṇan
घंटाकार,ghnṭākār
उढ़ावन,uāvan
उढ़ावनी,uāvanī
पत्थरा,pattharā
पत्थरी,pattharī
पत्थरो,pattharô
नमकपारा,namakapārā
युंजानक,yunjānak
उपरिपुल,uparipul
व्यूहबद्धत,vyūhabaddhat
पक्षापक्ष,pakshhāpakshh
क्षारनदी,kshhāranadī
सैरबाग,śairabāg
क्रिम,krim
क्रिय,kriy
विक्रिय,vikriy
प्रतिक्रिय,pratikriy
क्रिया,kriyā
प्रतिक्रिया,pratikriyā
विक्रिया,vikriyā
व्यूहबद्धन,vyūhabaddhan
नीचस्थ,nīcaśth
नीचस्थता,nīcaśthatā
मुल्लमा,mullamā
अपहत्या,apahatyā
वित्तत,vittat
वित्ततों,vittatôn
भंभीरी,bhnbhīrī
यज्ञवाहन,yajñaavāhan
मातृपक्ष,mātripakshh
वित्तद,vittad
असमस्तर,aśamaśtar
असमस्तरता,aśamaśtaratā
बाधाहीन,bādhāhīn
बाधाहीनता,bādhāhīnatā
क्रिस,kriś
कोडित्र,kôḍitr
दुख-रहित,dukharahit
हाथ-पाई,hāthapāi
अलिंदनिलय-अवरोध,alindanilaayavarôdh
वागेश्वर,vāgêshvar
वागेश्वरी,vāgêshvarī
वागेश्वरों,vāgêshvarôn
उबड़,ub
वित्तप,vittap
नक्षत्रपदयोग,nakshhatrapadayôg
प्रातर्दिन,prātardin
करपात्रीय,karapātrīy
संसत्सदस्य,śnśatśadaśy
संसत्सदस्यों,śnśatśadaśyôn
इन्द्रधनुषीय,endrdahanushhīy
मत्स्य-क्षेत्र,matśyakshhêtr
मत्स्य-क्षेत्रों,matśyakshhêtrôn
माषीण,māshhīṇ
इयरफ़ोन,eyaarôn
इयरफ़ोनों,eyaarônôn
असिम्मलन,aśimmalan
स्वप्नालु,śvapnālu
पुष्पांगिनी,pushhpānginī
झुटपुट,jhuṭapuṭ
झुटपुटों,jhuṭapuṭôn
झुटपुटा,jhuṭapuṭā
झुटपुटे,jhuṭapuṭê
भरतपुत्रक,bharataputrak
कतहुँ,katahun̐
उन्तालीस,untālīś
उन्तालीसवाँ,untālīśavān̐
उन्तालीसवीं,untālīśavīn
उन्तालीसवें,untālīśavên
रंगसाज़,rngaśā
रंगसाज़ी,rngaśāī
रंगसाज़ों,rngaśāôn
कालोंच,kālônc
भ्रमरावली,bhramarāvalī
रसपान,raśapān
अपॉर्शनमेंट,apŏrshanamênṭ
हरिगंध,harigndh
हरिगंधों,harigndhôn
फौवारा,fauvārā
पाएदार,pāadār
वित्ति,vitti
विवित्ति,vivitti
भांडार,bhānḍār
भांडारी,bhānḍārī
कोश-विषयक,kôshavishhayak
रुपैया,rupaiyā
वेदगुप्त,vêdagupt
शिशूल,shishūl
अव्यतीत,avyatīt
प्रदक्षिणा-मार्ग,pradakshhiṇāmārg
तर्कासंगत,tarkāśngat
प्रस्फोटक,praśfôṭak
प्रस्फोटकता,praśfôṭakatā
निशाभंगा,nishābhngā
रुलवा,rulavā
रुलवाइयो,rulavāeyô
रुलवावे,rulavāvê
रुलवाई,rulavāi
रुलवाकर,rulavākar
रुलवाना,rulavānā
रुलवाने,rulavānê
रुलवाता,rulavātā
रुलवाती,rulavātī
रुलवाते,rulavātê
रुलवाए,rulavāa
रुलवाएगा,rulavāagā
रुलवाएगी,rulavāagī
रुलवाएँगीं,rulavāan̐gīn
रुलवाएँगे,rulavāan̐gê
रुलवाऊँ,rulavāoon̐
रुलवाऊँगा,rulavāoon̐gā
रुलवाऊँगी,rulavāoon̐gī
रुलवाऊँगीं,rulavāoon̐gīn
रुलवाइए,rulavāea
रुलवाइएगा,rulavāeagā
रुलवाइएगी,rulavāeagī
रुलवाओ,rulavāo
रुलवाओगे,rulavāogê
रुलवाओगी,rulavāogī
प्राप्तिपत्रक,prāptipatrak
टोलीविज़न,ṭôlīvin
हाथ-पान,hāthapān
हंसलिपि,hnśalipi
आवाती,aavātī
उफ़क,uk
उफ़कों,ukôn
सबुद्धिमत्ता,śabuddhimattā
जलहोम,jalahôm
अरण्यप्रदेश,araṇyapradêsh
अरण्यप्रदेशों,araṇyapradêshôn
आटोमोबाइल,aaṭômôbāel
फुंसीकारक,funśīkārak
अनुरागिए,anurāgia
निःसंबल,niḥ śnbal
रूटीनत,rūṭīnat
रहबर,rahabar
रहबरों,rahabarôn
रहबरी,rahabarī
मनोध्यान,manôdhyān
स्थगिका,śthagikā
गृहजालिका,grihajālikā
ढका-छुपा,ḍhakāchupā
कुन्तक,kuntak
जैव-भौतिकी,jaivbahautikī
त्रिकंट,triknṭ
ख़रीददार,rīdadār
ख़रीददारों,rīdadārôn
ख़रीददारी,rīdadārī
निलरुगी,nilarugī
हिस्टौलजी,hiśṭaulajī
चोरहटिया,côrahaṭiyā
संकेन्द्रण,śnkêndraṇ
द्रव्य-संबंधी,dravyaśnbndhī
हॉर्टन,hŏrṭan
अनप्रतीती,anapratītī
शक्तिशाली,shaktishālī
शक्तिशालीता,shaktishālītā
जलमाक्षिका,jalamākshhikā
प्रस्फोटन,praśfôṭan
दिनमृति,dinamriti
दिनमृतिता,dinamrititā
अल्पाभिनय,alpābhinay
ब्रिस्टल,briśṭal
गचाका,gacākā
गचाकी,gacākī
गचाके,gacākê
गचाकों,gacākôn
संकेन्द्रन,śnkêndran
काछाड़,kāchā
उफ़न,un
उफ़नकर,unakar
उफ़नना,unanā
उफ़नने,unanê
उफ़नता,unatā
उफ़नती,unatī
उफ़नते,unatê
उफ़नियो,uniyô
उफ़नो,unô
उफ़नोगे,unôgê
उफ़नोगी,unôgī
उफ़ने,unê
उफ़नेगी,unêgī
उफ़नेगा,unêgā
उफ़नें,unên
उफ़नेंगे,unêngê
उफ़नेंगें,unêngên
उफ़नेंगी,unêngī
उफ़नेंगीं,unêngīn
उफ़नूँ,unūn̐
उफ़नूँगी,unūn̐gī
उफ़नूँगा,unūn̐gā
उफ़नी,unī
उफ़नीं,unīn
उफ़निए,unia
उफ़निएगी,uniagī
उफ़निएगा,uniagā
उफ़नतीं,unatīn
कुंजड़न,kunjan
पदोन्नति-पदावनति,padônnatipadāvanati
यूफुइस,yūfueś
मदहृत,madahrit
अल्पाभिनव,alpābhinav
हंसगर्भ,hnśagarbh
हंसगर्भों,hnśagarbhôn
कसौंदी,kaśaundī
इंजिनियरिंग,enjiniyaring
बलावा,balāvā
बशौक,bsahauk
जंबालिनी,jnbālinī
तज़िकिस्तान-वासी,tikiśtānavāśī
तज़िकिस्तान-वासिओं,tikiśtānavāśion
खेदहीन,khêdahīn
खेदहीनता,khêdahīnatā
पॉलिपों,pŏlipôn
होत्र,hôtr
होत्रा,hôtrā
होत्री,hôtrī
होत्रों,hôtrôn
प्रपौण्डरीक,prapauṇḍarīk
महानित्य,mahānity
मुरना,muranā
ढाकापाटन,ḍhākāpāṭan
स्वनकारी,śvanakārī
मल्कन,malkan
फ्रैंक्चर,frainkcar
आज़ादख़याल,aaādayāl
आज़ादख़याली,aaādayālī
गुँज,gun̐j
गुँजा,gun̐jā
गुँजियो,gun̐jiyô
गुँजो,gun̐jô
गुँजोगे,gun̐jôgê
गुँजोगी,gun̐jôgī
गुँजे,gun̐jê
गुँजेगी,gun̐jêgī
गुँजेगा,gun̐jêgā
गुँजें,gun̐jên
गुँजेंगे,gun̐jêngê
गुँजेंगें,gun̐jêngên
गुँजेंगी,gun̐jêngī
गुँजेंगीं,gun̐jêngīn
गुँजूँ,gun̐jūn̐
गुँजूँगी,gun̐jūn̐gī
गुँजूँगा,gun̐jūn̐gā
गुँजी,gun̐jī
गुँजीं,gun̐jīn
गुँजिए,gun̐jia
गुँजिएगी,gun̐jiagī
गुँजिएगा,gun̐jiagā
गुँजने,gun̐janê
गुँजना,gun̐janā
गुँजते,gun̐jatê
गुँजती,gun̐jatī
गुँजतीं,gun̐jatīn
गुँजता,gun̐jatā
गुँजकर,gun̐jakar
कुन्तल,kuntal
कुन्तलों,kuntalôn
ऐश्वर्यशाली,aeshvarysahālī
रंजकदानी,rnjakadānī
टिकटौक,ṭikaṭauk
अपटुत,apaṭut
अपटुता,apaṭutā
कोहड़ा,kôhā
गुँथ,gun̐th
गुँथा,gun̐thā
गुँथियो,gun̐thiyô
गुँथो,gun̐thô
गुँथोगे,gun̐thôgê
गुँथोगी,gun̐thôgī
गुँथे,gun̐thê
गुँथेगी,gun̐thêgī
गुँथेगा,gun̐thêgā
गुँथें,gun̐thên
गुँथेंगे,gun̐thêngê
गुँथेंगें,gun̐thêngên
गुँथेंगी,gun̐thêngī
गुँथेंगीं,gun̐thêngīn
गुँथूँ,gun̐thūn̐
गुँथूँगी,gun̐thūn̐gī
गुँथूँगा,gun̐thūn̐gā
गुँथी,gun̐thī
गुँथीं,gun̐thīn
गुँथिए,gun̐thia
गुँथिएगी,gun̐thiagī
गुँथिएगा,gun̐thiagā
गुँथने,gun̐thanê
गुँथना,gun̐thanā
गुँथते,gun̐thatê
गुँथती,gun̐thatī
गुँथतीं,gun̐thatīn
गुँथता,gun̐thatā
गुँथकर,gun̐thakar
नभश्चक्षु,nbahsahcakshhu
अर्धकलिका,ardhakalikā
गुँध,gun̐dh
गुँधा,gun̐dhā
गुँधियो,gun̐dhiyô
गुँधो,gun̐dhô
गुँधोगे,gun̐dhôgê
गुँधोगी,gun̐dhôgī
गुँधे,gun̐dhê
गुँधेगी,gun̐dhêgī
गुँधेगा,gun̐dhêgā
गुँधें,gun̐dhên
गुँधेंगे,gun̐dhêngê
गुँधेंगें,gun̐dhêngên
गुँधेंगी,gun̐dhêngī
गुँधेंगीं,gun̐dhêngīn
गुँधूँ,gun̐dhūn̐
गुँधूँगी,gun̐dhūn̐gī
गुँधूँगा,gun̐dhūn̐gā
गुँधी,gun̐dhī
गुँधीं,gun̐dhīn
गुँधिए,gun̐dhia
गुँधिएगी,gun̐dhiagī
गुँधिएगा,gun̐dhiagā
गुँधने,gun̐dhanê
गुँधना,gun̐dhanā
गुँधते,gun̐dhatê
गुँधती,gun̐dhatī
गुँधतीं,gun̐dhatīn
गुँधता,gun̐dhatā
गुँधकर,gun̐dhakar
हरणशील,haraṇsahīl
सोनपत्ता,śônapattā
सोनपत्ती,śônapattī
खट्वाङ्ग,khaṭvāṅag
मोहमिल,môhamil
सेँमल,śên̐mal
नीलवर्षाभू,nīlavarshhābhū
पस्मृरण,paśmriraṇ
ऑर्थोपीडीशियन,awrthôpīḍīshiyan
अयोग्य,ayôgy
अयोग्यता,ayôgyatā
अनीकीय,anīkīy
जरजाल,jarajāl
कंठसंगीत,knṭhaśngīt
कंठसंगीतों,knṭhaśngītôn
सोमेज्या,śômêjyā
लक्ष्मीवेष्ट,lakshhmīvêshhṭ
फाइनेंस,fāenênś
मछंदरनाथ,mcahndaranāth
लौक्य,lauky
असंसिक्तन,aśnśiktan
आद्योपांत,aadyôpānt
आद्योपांतता,aadyôpāntatā
फिरोज़,firô
फिरोज़ी,firôī
निशाचर्म,nishācarm
घिरवा,ghiravā
घिरवाइयो,ghiravāeyô
घिरवावे,ghiravāvê
घिरवाई,ghiravāi
घिरवाकर,ghiravākar
घिरवाना,ghiravānā
घिरवाने,ghiravānê
घिरवाता,ghiravātā
घिरवाती,ghiravātī
घिरवाते,ghiravātê
घिरवाए,ghiravāa
घिरवाएगा,ghiravāagā
घिरवाएगी,ghiravāagī
घिरवाएँगीं,ghiravāan̐gīn
घिरवाएँगे,ghiravāan̐gê
घिरवाऊँ,ghiravāoon̐
घिरवाऊँगा,ghiravāoon̐gā
घिरवाऊँगी,ghiravāoon̐gī
घिरवाऊँगीं,ghiravāoon̐gīn
घिरवाइए,ghiravāea
घिरवाइएगा,ghiravāeagā
घिरवाइएगी,ghiravāeagī
घिरवाओ,ghiravāo
घिरवाओगे,ghiravāogê
घिरवाओगी,ghiravāogī
कैवल्यीय,kaivalyīy
ठिल्ला,ṭhillā
ठिल्ली,ṭhillī
ठिल्ले,ṭhillê
ठिल्लों,ṭhillôn
संविधानवाद,śnvidhānavād
संविधानवादों,śnvidhānavādôn
संविधानवादी,śnvidhānavādī
मनमानीपूर्ण,manamānīpūrṇ
आर्जेंटाइनाई,aarjênṭāenāi
दुशान्बे,dushānbê
श्रीदयित,shrīdayit
चाडवास,cāḍavāś
चाडवासी,cāḍavāśī
चाडवासिनी,cāḍavāśinī
चाडवासियों,cāḍavāśiyôn
अम्बुजासना,ambujāśanā
धनशाली,dhansahālī
उच्चारणोंकेसचौड़ाईकाना,uccāraṇônkêśacauāikānā
प्राणिन्,prāṇin
कर्णपटल,karṇapaṭal
कर्णपटलों,karṇapaṭalôn
संतर्षुल,śntarshhul
सहावभाव,śahāvbahāv
पालिशिया,pālishiyā
नौकामार्ग,naukāmārg
मेलिंडा,mêlinḍā
गर्मा-गर्म,garmāgarm
हरेना,harênā
हरिया,hariyā
हरिए,haria
हरी,harī
हरीं,harīn
ऑमलेट,awmalêṭ
सैल्,śail
कर्णपटह,karṇapaṭah
कर्णपटहों,karṇapaṭahôn
उल्लोच,ullôc
परंपरा,parnparā
परंपराएँ,parnparāan̐
परंपराओं,parnparāon
परंपरे,parnparê
परंपरों,parnparôn
पकडवा,pakaḍavā
ब्रैह्मा,braihmā
दीवानपन,dīvānapan
पृष्ठनाद,prishhṭhanād
रौंगी,raungī
दलचारी,dalacārī
रूपसाधन,rūpaśādhan
रूपसाधनों,rūpaśādhanôn
ररकना,rarakanā
विधिवत्त,vidhivatt
विधिवत्ता,vidhivattā
समझौता,śamjahautā
समझौते,śamjahautê
समझौतों,śamjahautôn
बंगड़ी,bngī
प्रितयोगियों,pritayôgiyôn
उन्निर्यास,unniryāś
चंद्रोदय,cndrôday
चंद्रोदयों,cndrôdayôn
ऊँचापन,oon̐cāpan
जंबूरख़ाना,jnbūrānā
माँहोमाँहि,mān̐hômān̐hi
योगपट,yôgapaṭ
स्मृतिविद,śmritivid
तरुविलासिनी,taruvilāśinī
औटिएगा,aoṭiagā
औटिएगी,aoṭiagī
सैनपति,śainapati
लघड़बग्घा,lgaahabagghā
अवाक्क,avākk
साधारित,śādhārit
दोलायक,dôlāyak
उठा-उठा,uṭhāuṭhā
कड़खैत,kkahait
कड़खैतों,kkahaitôn
ट्रायोलोजी,ṭrāyôlôjī
आरम्भिक,aarambhik
आरम्भिकों,aarambhikôn
धर्मासंगत,dharmāśngat
परिवर्तनकारित,parivartanakārit
परिवर्तनकारिता,parivartanakāritā
चुहड़ा,cuhā
भाषासम,bhāshhāśam
भाषासमों,bhāshhāśamôn
परबत्ता,parabattā
प्रतिनारी,pratinārī
रिकॉर्डिंग्स,rikŏrḍingś
तूर्णक,tūrṇak
हाइपोटैन्यूज़,hāepôṭainyū
निक्की,nikkī
आँकू,aan̐kū
चेतनाघात,cêtanāghāt
विद्वद्देश्य,vidvaddêshy
उल्लोल,ullôl
उल्लोलों,ullôlôn
पैथोलजी,paithôlajī
कालबूत,kālabūt
अगोचरत,agôcarat
अगोचरता,agôcaratā
भंडा-फोड़,bhnḍāfô
रीयाल,rīyāl
नवारना,navāranā
बेदमजनूँ,bêdamajanūn̐
जयपाल,jayapāl
अजयपाल,ajayapāl
टर्किश,ṭarkish
